	RSSUBMTHAIRY1	RSCONMTHAIRY3	RSSUBMTHAIRY3	RSCONMTHAIRY4	RSSUBMTHAIRY4	INRNACONMTHAIRY1	INRNACONMTHAIRY2	INRNACONMTHAIRY3	INRNACONMTHAIRY4	INRNASUBMTHAIRY1	INRNASUBMTHAIRY2	INRNASUBMTHAIRY3	INRNASUBMTHAIRY4	TOTCONMTHAIRY1	TOTCONMTHAIRY2	TOTCONMTHAIRY3	TOTCONMTHAIRY4	TOTSUBMTHAIRY1	TOTSUBMTHAIRY2	TOTSUBMTHAIRY3	TOTSUBMTHAIRY4	TRACONMTHAIRY1	TRACONMTHAIRY3	TRACONMTHAIRY4	TRASUBMTHAIRY1	TRASUBMTHAIRY3	TRASUBMTHAIRY4
Medtr0006s0110	4	0	1	1	0	1	3	0	0	7	2	3	0	8	0	96	57	0	15	246	3	0	0	0	1	0	0
Medtr0006s0140	0	3	14	12	2	179	63	147	83	310	122	337	65	50	0	17	123	120	46	65	139	0	0	92	182	0	109
Medtr0006s0160	4	18	21	26	7	86	54	79	72	160	74	189	43	132	16	26	298	114	163	194	125	92	61	49	0	0	78
Medtr0006s0180	1	0	0	0	1	14	9	17	7	20	11	32	1	11	50	0	10	0	0	0	0	0	0	0	0	0	0
Medtr0006s0190	0	0	2	0	0	0	3	0	0	5	1	2	2	12	0	4	11	0	3	80	0	0	0	0	0	0	0
Medtr0006s0210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0006s0230	10	25	47	60	10	214	176	173	212	317	137	306	72	339	202	111	484	194	649	554	375	68	99	158	0	9	75
Medtr0006s0240	4	8	29	27	6	58	45	36	43	88	34	88	34	155	88	137	148	136	104	134	150	37	14	52	0	0	30
Medtr0006s0250	1	1	0	3	0	1	1	0	1	1	0	3	1	3	0	0	9	23	13	0	5	0	19	0	0	0	0
Medtr0006s0260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0
Medtr0006s0290	0	1	2	0	0	0	0	0	1	0	0	2	0	10	0	0	13	0	0	0	5	2	20	24	0	0	0
Medtr0006s0300	0	4	1	4	3	11	17	5	5	14	9	19	2	15	25	46	28	0	29	2	38	58	0	13	0	0	17
Medtr0007s0010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0007s0020	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	0	10	0	0	0
Medtr0007s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0007s0040	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
